full_hash,short_hash,author_date,commit_date,subject,is_merge,files_changed,insertions,deletions
1320469842a0ea4866e461199ef11aa407ce2eef,1320469,2026-09-03 14:30:42 +0900,2026-09-03 14:30:42 +0900,feat: 한알국쉬 수능 버전 초기 배포,False,21,84007,0
168899e9d8d966cd83da225293eaec49f2a8c519,168899e,2026-09-03 14:40:43 +0900,2026-09-03 14:40:43 +0900,Add files via upload,False,1,2116,0
5542a1153777362eb3e3405a6c3931de95a347e2,5542a11,2026-09-03 14:42:12 +0900,2026-09-03 14:42:12 +0900,Add files via upload,False,3,14930,0
f59cdef91f91b22be9653e84a2a38c0b14ca3fec,f59cdef,2026-09-03 14:52:06 +0900,2026-09-03 14:52:06 +0900,Create about.html,False,1,210,0
d9c976d924a5f4442647cbf7b83e52d37a0c94dc,d9c976d,2026-09-03 14:53:37 +0900,2026-09-03 14:53:37 +0900,Create guide.html,False,1,225,0
ac41ff97c4b7016a64751d9309e4e521634e4a19,ac41ff9,2026-09-03 14:58:59 +0900,2026-09-03 14:58:59 +0900,Delete about.html,False,1,0,210
9c1c3647ffd0d971433399e86b0c42de63ed3d8d,9c1c364,2026-09-03 14:59:27 +0900,2026-09-03 14:59:27 +0900,Create about.html,False,1,210,0
40856e0dd8a539ed7c17e874199a8619a26339de,40856e0,2026-09-03 15:09:04 +0900,2026-09-03 15:09:04 +0900,merge: remote origin/main into main (keep local suneung version),True,2,435,0
3db4cd585253198e8f12c18dc6ac7de6d09115bd,3db4cd5,2026-09-03 15:16:08 +0900,2026-09-03 15:16:08 +0900,feat: GA4 태그 추가 및 gitignore 설정,False,4,207,130
14a4f0d970e34d0196b3affefd4c5db9af201e2b,14a4f0d,2026-09-03 15:21:46 +0900,2026-09-03 15:21:46 +0900,Add files via upload,False,3,510,443
58426a695c11cbb9a8482bdadb37e5249211deab,58426a6,2026-09-03 15:25:20 +0900,2026-09-03 15:25:20 +0900,Create ROBOTS.TXT,False,1,4,0
7392e3282eaf107706df756554f3c1b17d4c403c,7392e32,2026-09-03 15:25:47 +0900,2026-09-03 15:25:47 +0900,Create SITEMAP.XML,False,1,18,0
4707c5fd324462fb80c19792192022045a598630,4707c5f,2026-09-03 15:27:56 +0900,2026-09-03 15:27:56 +0900,Rename ROBOTS.TXT to robots.txt,False,1,0,0
a5c5a9c0b4ced504e7fb384ec7783d0f44d50389,a5c5a9c,2026-09-03 15:28:15 +0900,2026-09-03 15:28:15 +0900,Rename SITEMAP.XML to sitemap.xml,False,1,0,0
30f5db38d713224a8de50a13d8b1a0079e4bb6d3,30f5db3,2026-09-03 15:32:24 +0900,2026-09-03 15:32:24 +0900,Update index.html,False,1,2,1
fe8553527136d393328bbd2b21a8ee67f5b0ddc2,fe85535,2026-09-06 13:33:35 +0900,2026-09-06 13:33:35 +0900,add 2027 sep mock vocabulary,False,8,22953,22811
ad25e5f1ae7dcc00435400d3d971248b2df78bd5,ad25e5f,2026-09-06 13:37:46 +0900,2026-09-06 13:37:46 +0900,"merge: remote origin/main into main (add robots.txt, sitemap.xml, naver verification)",True,3,24,1
1b162102fe9dea3c4ad891f51c2f5c4ccc42d28a,1b16210,2026-09-06 15:06:41 +0900,2026-09-06 15:06:41 +0900,Refine 2027 September mock data source metadata,False,2,6719,5748
19e1626e6093a2eed33a70483c8cca14129b9537,19e1626,2026-09-06 17:06:15 +0900,2026-09-06 17:06:15 +0900,Revalidate 2022 CSAT vocabulary data,False,1,1365,166
